date,product,contextFirstDate,contextLastDate,calendarSlots,observedSlots,nanSlots,contextSha256
2023-06-02,35,2022-01-06,2023-06-01,512,389,123,60f50bcebcab4a47356eec18324d756c2ed64635115d401953b654bf5f063929
2023-06-02,82,2022-01-06,2023-06-01,512,390,122,aab28e5e52f335186c35fffe047791de6f899d63f4216ed56c5588b058dffd92
2023-06-03,11,2022-01-07,2023-06-02,512,394,118,cb3a2a6affbf3861bf0615a31b1cc01b6cf176a842dc15b16ce30a91a869b5c6
2023-06-03,12,2022-01-07,2023-06-02,512,386,126,bc784fce5e8bd046c35ae561023535cc7a348a06a4e2e700663d34c81b7c87ba
2023-06-03,13,2022-01-07,2023-06-02,512,392,120,e7f3d488680468686ed13d3076a04312b89ffc2895079dadb4f85931faf31af9
2023-06-03,21,2022-01-07,2023-06-02,512,393,119,4cb76fdcd831ffb8554f82270b32c6c2fa4dcfa17fae64a98ad044e5ad15fac1
2023-06-03,35,2022-01-07,2023-06-02,512,389,123,f406948e9fd7c19644a8e5a69ac27a783fb073340d12f9257086ac7de8a4bbb0
2023-06-03,82,2022-01-07,2023-06-02,512,391,121,342ba5c628921eabac213d3b21399ec1373bf9f9d86f713bbc833379adf44bb4
2023-06-04,11,2022-01-08,2023-06-03,512,394,118,98f33d1dd16b9713054bd12977699559fb5d2bf2150a68bc735e99e0ab84b44d
2023-06-04,12,2022-01-08,2023-06-03,512,386,126,c6f273a988b2083ec7b2aa1282b3034d02febbf6d007fd2d777c9fe358105664
2023-06-04,13,2022-01-08,2023-06-03,512,392,120,e5b7c207c1b668decbbfa7262a2b43f370bd7c38e94f8ec75ffe15cb036d3a71
2023-06-04,21,2022-01-08,2023-06-03,512,393,119,ee402fe9e7a10deb95a259dd7581688be580d9fcecc86df6bc120426e6357e84
2023-06-04,35,2022-01-08,2023-06-03,512,389,123,85e0161e24136beee36a0560432b1e41203611fc0b7bb6adecd1e4f88897a183
2023-06-04,82,2022-01-08,2023-06-03,512,392,120,33ce2edbab9e5ad3cfc8d791c4b7d5ebffbe0109e29ab06807e257319b373ce5
2023-06-05,11,2022-01-09,2023-06-04,512,394,118,aabb7ae612e5929bd3e2f8972c4f7ca266c9d054cb8cfa355a973a0fc4935e46
2023-06-05,12,2022-01-09,2023-06-04,512,386,126,3bf052c5d8101fc1cacce62c75a450a3c75b1207599e448e85e66a92e1013fbc
2023-06-05,13,2022-01-09,2023-06-04,512,392,120,7932a32323c582b16617e75cd14385933059c8da76c8c7c7eadda4eec4c3fdda
2023-06-05,21,2022-01-09,2023-06-04,512,394,118,5b87eaed069e4c435f2c937f38932ec7811842c5b8ee1463d4b4ac648530fcfa
2023-06-05,35,2022-01-09,2023-06-04,512,389,123,98b74ff720e829b8ad11bff23f3d092a7118265f53e5b7dcdbdb5bbb00a6855c
2023-06-05,82,2022-01-09,2023-06-04,512,393,119,af8af10ee06db5e84ac53bcb2c28de5a053b5c9515e6851a88faa0eb3fe8841a
2023-06-06,11,2022-01-10,2023-06-05,512,395,117,bb57c0203208e67cb5eccbbf5c04da01daa2b66d14901b28ddccc996337f6f14
2023-06-06,12,2022-01-10,2023-06-05,512,387,125,a79a6e2532624cf864b9facd1b64654c1381d10d511b90fe2b15d0b8cdb1c1c6
2023-06-06,13,2022-01-10,2023-06-05,512,393,119,0e6522cfbc88eae5f3bee5f112b635b496cfe82ad8cd56e440d1d2a0d72c35c4
2023-06-06,21,2022-01-10,2023-06-05,512,395,117,54dee53c9edfa6b6d7ddb19b6a19b2e3f2364b184b09eab34b942cfa68e5a38b
