variantId,splitId,date,product,weightCutoffExclusive,weightLatestOutcome,weightRows,residualFirstOutcome,residualLatestOutcome,residualRows,newObservedHistoryUsed,correctionP50,correctionP75,weight_extra-trees,weight_catboost,weight_scaled-catboost,weight_spline-ridge,weight_weekday-8
custom-residual-only,split-2,2023-09-20,12,2023-08-04,2023-08-03,166,2023-07-27,2023-09-19,55,True,-0.10523127562368653,-0.040803256363440489,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-20,13,2023-08-04,2023-08-03,166,2023-07-26,2023-09-19,56,True,-0.89143012580932379,0.22452910307316196,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-20,21,2023-08-04,2023-08-03,166,2023-07-26,2023-09-19,56,True,0.9988093414883481,1.5421283538437784,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-20,35,2023-08-04,2023-08-03,166,2023-07-26,2023-09-19,56,True,3.004269903310687,2.2548124809867778,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-20,82,2023-08-04,2023-08-03,166,2023-07-26,2023-09-19,56,True,-0.60865430503942797,-0.25843055051335928,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-21,11,2023-08-04,2023-08-03,166,2023-07-27,2023-09-20,56,True,-1.4544477657132904,0.5560955084768614,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-21,12,2023-08-04,2023-08-03,166,2023-07-27,2023-09-20,56,True,-0.091904126162467223,-0.37465450724848637,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-21,13,2023-08-04,2023-08-03,166,2023-07-27,2023-09-20,56,True,-0.091324282408682372,0.66422144365854408,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-21,21,2023-08-04,2023-08-03,166,2023-07-27,2023-09-20,56,True,-1.6845447778498313,1.4887790486297234,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-21,35,2023-08-04,2023-08-03,166,2023-07-27,2023-09-20,56,True,2.6277908331783801,2.2028924567535295,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-21,82,2023-08-04,2023-08-03,166,2023-07-27,2023-09-20,56,True,-0.59057546429568253,-1.0179285973082994,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-22,11,2023-08-04,2023-08-03,166,2023-07-28,2023-09-21,56,True,-1.5795536785194586,0.37392276643299222,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-22,12,2023-08-04,2023-08-03,166,2023-07-28,2023-09-21,56,True,-0.089471369881696045,-0.36473718205661465,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-22,13,2023-08-04,2023-08-03,166,2023-07-28,2023-09-21,56,True,0.23281841253812077,0.93942888624576482,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-22,21,2023-08-04,2023-08-03,166,2023-07-28,2023-09-21,56,True,1.39187025560365,1.4370969092036077,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
custom-residual-only,split-2,2023-09-22,35,2023-08-04,2023-08-03,166,2023-07-28,2023-09-21,56,True,2.3534400339850903,2.1583895788393166,0.17259812951224632,0,0.82740187048775382,0,3.3794763850286003e-17
